Date,Time,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchase,visitSpend,quanlityRate,priceRate,sales-promoteDecision,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethod,loyal
2019/10/01,13:51:47,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Take away,Below 30 minutes,within 1km,No,Coffee,Less than RM20,3,4,4,3,4,4,3,Social Media;Through friends and word of mouth;Billboards,Yes
2019/10/01,13:51:56,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Coffee,Less than RM20,4,2,4,4,3,4,1,Social Media,No
2019/10/01,13:53:05,Female,From 20 to 29,Self-employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,within 1km,No,Cold drinks,Less than RM20,3,3,4,4,5,5,2,Social Media,Yes
2019/10/01,13:55:52,Male,Below 20,Student,"Less than RM25,000",Rarely,Dine in,Between 1 hour to 2 hours,more than 3km,No,Coffee,Less than RM20,5,2,3,4,4,3,5,Starbucks Website/Apps;Social Media,Yes
2019/10/01,13:57:01,Male,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,Yes,Cold drinks;Juices;Pastries,Around RM20 - RM40,4,4,4,4,4,4,4,In Store displays,Yes
2019/10/01,14:00:32,Male,From 30 to 39,Employed,"RM50,000 - RM100,000",Rarely,Take away,Below 30 minutes,within 1km,Yes,Coffee,Less than RM20,3,2,5,3,3,5,3,Starbucks Website/Apps;Social Media,Yes
2019/10/01,14:03:08,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Never,Take away,Below 30 minutes,1km - 3km,No,Coffee,Less than RM20,4,4,4,4,4,4,4,Social Media,Yes
2019/10/01,14:06:24,Male,From 20 to 29,Employed,"Less than RM25,000",Monthly,Dine in,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Around RM20 - RM40,5,4,5,5,3,5,5,Starbucks Website/Apps;Social Media,Yes
2019/10/01,14:27:41,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Weekly,Dine in,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Around RM20 - RM40,5,4,5,5,1,4,4,Social Media,Yes
2019/10/01,14:35:40,Female,From 20 to 29,Employed,"Less than RM25,000",Monthly,Take away,Below 30 minutes,more than 3km,No,Coffee;Pastries,Around RM20 - RM40,4,4,5,4,4,5,5,Starbucks Website/Apps;Social Media;Emails;Billboards,Yes
